Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",117.31,0.01,+0.01%,117.04,118.37,116.84,733500,12/24/20
AAL,"American Airlines Gp",15.66,-0.23,-1.45%,16.04,16.04,15.53,31048900,12/24/20
AAP,"Advance Auto Parts Inc",160.68,1.39,+0.87%,159.86,160.98,158.93,308000,12/24/20
AAPL,"Apple Inc",131.97,1.01,+0.77%,131.32,133.46,131.1,54930000,12/24/20
AXON,"Axon Inc",130.75,-1.08,-0.82%,132,132.46,129.31,187400,12/24/20
ABBV,"Abbvie Inc",103.26,-0.02,-0.02%,103.11,103.39,102.6,1378600,12/24/20
ABC,"Amerisourcebergen Corp",96.97,-0.27,-0.28%,97.33,97.58,96.08,295700,12/24/20
ABMD,"Abiomed Inc",303.41,-0.64,-0.21%,304.45,306.08,300.58,65700,12/24/20
ABT,"Abbott Laboratories",108.35,0.9,+0.84%,107.44,108.95,107.38,1451400,12/24/20
ACAD,"Acadia Pharmaceutica",55.01,-0.08,-0.15%,55.56,55.8,54.94,251400,12/24/20
ACC,"American Campus Communities Inc",43.5,1.06,+2.50%,42.57,43.58,42.09,279800,12/24/20
ACGL,"Arch Capital Grp Ltd",34.86,-0.22,-0.63%,35.09,35.09,34.45,604600,12/24/20
ACHC,"Acadia Healthcr Company",49.27,0.29,+0.59%,49.38,49.38,48.51,113000,12/24/20
ACI,"Albertsons Companies Inc Cl A",15.75,0.2,+1.29%,15.71,16.02,15.65,927800,12/24/20
ACM,"Aecom Technology Corp",48.66,0.11,+0.23%,48.43,48.7,48.21,403600,12/24/20
ACN,"Accenture Plc",257.3,-0.14,-0.05%,258,259.78,256.28,528100,12/24/20
ADBE,"Adobe Systems Inc",499.86,2.95,+0.59%,499.16,503.01,497.28,589100,12/24/20
ADI,"Analog Devices",144.47,1.25,+0.87%,144.11,144.48,143.01,466300,12/24/20
ADM,"Archer Daniels Midland",49.44,0.09,+0.18%,49.41,49.5,49.02,411600,12/24/20
ADP,"Automatic Data Procs",176.56,1.37,+0.78%,176.12,176.57,174.93,371500,12/24/20
ADPT,"Adaptive Biotechnologies Corp",62.53,-2.94,-4.49%,65.39,65.39,61.5,364300,12/24/20
ADS,"Alliance Data Systems Corp",72.01,0.7,+0.98%,71.78,72.38,70.14,345800,12/24/20
ADSK,"Autodesk Inc",301.39,1.21,+0.40%,300.4,302.76,298.77,323000,12/24/20
ADT,"ADT Inc",8.1,-0.07,-0.86%,8.15,8.19,8.07,1399300,12/24/20
AEE,"Ameren Corp",76.47,0.75,+0.99%,75.85,76.55,75.65,462900,12/24/20
AEP,"American Electric Power Company",81.42,0.71,+0.88%,80.84,81.58,80.41,758000,12/24/20
AES,"The Aes Corp",23.27,-0.22,-0.94%,23.5,23.53,23.1,2859600,12/24/20
AFG,"American Financial Group",87.57,1.12,+1.30%,86.85,87.59,86,113000,12/24/20
AFL,"Aflac Inc",43.84,0.31,+0.71%,43.67,43.93,43.38,1383500,12/24/20
AGCO,"Agco Corp",103.21,-0.44,-0.42%,104.13,104.36,102.87,178900,12/24/20
AGIO,"Agios Pharmaceuticals",45.15,1.34,+3.06%,44.31,45.64,43.84,363700,12/24/20
AGNC,"American Capital Age",15.57,-0.1,-0.64%,15.75,15.76,15.48,3246900,12/24/20
AGO,"Assured Guaranty Ltd",31.73,0.22,+0.70%,31.51,31.75,30.85,262100,12/24/20
AGR,"Avangrid Inc",44.88,0.14,+0.31%,44.94,45.02,44.41,142100,12/24/20
AIG,"American International Group",37.37,-0.07,-0.19%,37.48,37.5,36.97,1613800,12/24/20
AIV,"Apartment Investment and Management",4.99,-0.01,-0.20%,5.02,5.03,4.89,3520000,12/24/20
AIZ,"Assurant Inc",132.62,0.18,+0.14%,132.55,132.85,131.85,86600,12/24/20
AJG,"Arthur J. Gallagher & Company",123.42,0.38,+0.31%,123.02,123.69,122.65,222900,12/24/20
AKAM,"Akamai Technologies",107.46,0.4,+0.37%,108.6,108.6,106.43,410300,12/24/20
AL,"Air Lease Corp Cl A",43.19,0.41,+0.96%,42.8,43.3,42.22,231000,12/24/20
ALB,"Albemarle Corp",149.64,-0.27,-0.18%,149.9,150.37,148.29,487400,12/24/20
ALGN,"Align Technology",528.03,3.03,+0.58%,528.14,529.21,521.13,163600,12/24/20
ALK,"Alaska Air Group",52.25,0.41,+0.79%,52.25,52.56,51.12,814700,12/24/20
ALKS,"Alkermes Plc",21.46,0.2,+0.94%,21.24,21.57,21.16,908100,12/24/20
ALL,"Allstate Corp",107.19,1.2,+1.13%,106.19,107.41,105.92,508900,12/24/20
ALLE,"Allegion Plc",113.03,0.27,+0.24%,113.04,113.22,112.15,138800,12/24/20
ALLY,"Ally Financial",34.54,-0.34,-0.97%,35.07,35.12,34.25,828100,12/24/20
ALNY,"Alnylam Pharmaceuticals",137.56,-1.06,-0.76%,138.62,140.11,136.8,150900,12/24/20
ALSN,"Allison Transmission Holdings",43.26,-0.16,-0.37%,43.51,43.56,42.99,372000,12/24/20
ALXN,"Alexion Pharm Inc",152.63,-0.61,-0.40%,153.54,153.61,151.99,1083800,12/24/20
AM,"Antero Midstream Corp",8.38,-0.06,-0.71%,8.5,8.64,8.3,1158500,12/24/20
AMAT,"Applied Materials",85.33,1.3,+1.55%,84.74,85.39,84.2,1409100,12/24/20
AMCR,"Amcor Plc",11.64,0.08,+0.69%,11.64,11.66,11.53,957900,12/24/20
AMD,"Adv Micro Devices",91.81,0.26,+0.28%,91.8,92.51,91.31,16705900,12/24/20
AME,"Amtek Inc",119.04,0.42,+0.35%,118.64,119.32,118,188400,12/24/20
AMED,"Amedisys Inc",292.35,2.51,+0.87%,298.54,298.54,289.01,50400,12/24/20
AMG,"Affiliated Managers Group",101.74,0.14,+0.14%,102.32,102.32,100.69,96600,12/24/20
AMGN,"Amgen Inc",222.93,-0.01,0.00%,223.24,224.58,222.29,955400,12/24/20
AMH,"American Homes 4 Rent",29.47,0.19,+0.65%,29.4,29.57,29.23,688900,12/24/20
AMP,"Ameriprise Financial Services",189.7,1.16,+0.62%,188.98,189.88,186.95,212100,12/24/20
AMT,"American Tower Corp",218.65,1.25,+0.57%,216.44,219.39,216.19,705600,12/24/20
AMZN,"Amazon.com Inc",3172.69,-12.58,-0.39%,3193.9,3202,3169,1451900,12/24/20
AN,"Autonation Inc",68.05,0.07,+0.10%,68.12,68.13,67.39,187900,12/24/20
ANAT,"Amer Natl Insurance",93.46,-0.5,-0.53%,93.83,94,93,10000,12/24/20
ANET,"Arista Networks Inc",288.84,2.35,+0.82%,288.69,289.38,285.97,101700,12/24/20
ANSS,"Ansys Inc",364.17,1.95,+0.54%,362.76,366.33,361.13,209300,12/24/20
ANTM,"Anthem Inc",308.67,0.32,+0.10%,307.97,309.6,307.89,224400,12/24/20
AON,"AON Plc",210.61,2.71,+1.30%,209.55,210.99,208,429900,12/24/20
AOS,"Smith A.O. Corp",55.48,0.37,+0.67%,55.49,55.5,54.84,214900,12/24/20
APA,"Apache Corp",14.43,-0.35,-2.37%,14.79,14.8,14.26,3763200,12/24/20
APD,"Air Products and Chemicals",268.35,2.1,+0.79%,266.08,268.36,265.13,227600,12/24/20
APH,"Amphenol Corp",129.17,0.41,+0.32%,129.07,129.38,128.26,337300,12/24/20
APLE,"Apple Hospitality REIT Inc",13.18,0.18,+1.38%,13.07,13.19,12.96,1219600,12/24/20
APO,"Apollo Global Management Llc C",49.09,0.93,+1.93%,48.08,49.14,47.76,458300,12/24/20
APTV,"Aptiv Plc",128.42,0.07,+0.05%,128.9,129.2,127.06,350000,12/24/20
ARD,"Ardagh Group S.A.",17.46,-0.22,-1.24%,17.63,17.74,17.46,25800,12/24/20
ARE,"Alexandria Real Estate Equities",174.5,0.81,+0.47%,173.78,174.6,173.06,212700,12/24/20
ARES,"Ares Management LP",49.06,-0.07,-0.14%,49.09,49.26,48.79,222300,12/24/20
