Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AXON,Axon Inc,130.75,-1.08,-0.82%,132.46,129.31,187400,12/24/20
ACC,American Campus Communities Inc,43.5,1.06,2.50%,43.58,42.09,279800,12/24/20
ACHC,Acadia Healthcr Company,49.27,0.29,0.59%,49.38,48.51,113000,12/24/20
ACIW,Aci Worldwide Inc,38.53,0.52,1.37%,38.65,38.12,155100,12/24/20
ACM,Aecom Technology Corp,48.66,0.11,0.23%,48.7,48.21,403600,12/24/20
ADNT,Adient Plc,34.58,-0.42,-1.20%,35.05,34.08,188500,12/24/20
ADS,Alliance Data Systems Corp,72.01,0.7,0.98%,72.38,70.14,345800,12/24/20
AEO,American Eagle Outfitters,19.83,-0.38,-1.88%,20.25,19.71,1068300,12/24/20
AFG,American Financial Group,87.57,1.12,1.30%,87.59,86,113000,12/24/20
AGCO,Agco Corp,103.21,-0.44,-0.42%,104.36,102.87,178900,12/24/20
ALE,Allete Inc,60.57,0.8,1.34%,60.62,59.26,146400,12/24/20
AM,Antero Midstream Corp,8.38,-0.06,-0.71%,8.64,8.3,1158500,12/24/20
AMCX,Amc Networks Cl A,32.93,-0.81,-2.39%,33.76,32.81,309200,12/24/20
AMED,Amedisys Inc,292.35,2.51,0.87%,298.54,289.01,50400,12/24/20
AMG,Affiliated Managers Group,101.74,0.14,0.14%,102.32,100.69,96600,12/24/20
AN,Autonation Inc,68.05,0.07,0.10%,68.13,67.39,187900,12/24/20
ARW,Arrow Electronics,97.12,0.5,0.52%,97.28,95.9,97100,12/24/20
ARWR,Arrowhead Pharma,84.19,-1.18,-1.38%,86.75,83.62,313100,12/24/20
ASB,Associated Banc-Corp,17.04,-0.04,-0.23%,17.17,16.78,406600,12/24/20
ASGN,On Assignment,84.14,-0.02,-0.02%,85.12,83.64,37700,12/24/20
ASH,Ashland Global Holdings Inc,79.22,0.68,0.87%,79.25,77.05,121700,12/24/20
ATGE,Adtalem Global Education Inc,34.42,0.91,2.72%,34.57,33.44,122300,12/24/20
ATR,Aptargroup,135.7,1.17,0.87%,136.37,134.65,84100,12/24/20
AVNS,Avanos Medical Inc,46.72,0.51,1.10%,46.86,46.14,73700,12/24/20
