Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
PASG,"Passage Bio Inc",26.43,-0.69,-2.54%,27.22,27.33,26.26,62600,12/24/20
PATK,"Patrick Inds Inc",70.37,1.15,+1.66%,69.64,71.23,69.14,59300,12/24/20
PAVM,"Pavmed Inc",1.95,0.09,+4.84%,1.89,2.01,1.843,2825300,12/24/20
PAYS,"Paysign Inc",4.83,0.11,+2.44%,4.7,4.83,4.64,200200,12/24/20
PBF,"PBF Energy Inc",6.88,-0.34,-4.71%,7.2,7.22,6.82,1852900,12/24/20
PBFS,"Pioneer Bancorp Inc",10.46,-0.09,-0.85%,10.63,10.69,10.3,14300,12/24/20
PBH,"Prestige Brand Holdings",34.9,0.14,+0.40%,34.94,35.17,34.62,97200,12/24/20
PBI,"Pitney Bowes Inc",5.53,-0.07,-1.25%,5.66,5.66,5.45,693000,12/24/20
PBIP,"Prudential Bancorp",13.68,-0.46,-3.25%,13.8,13.82,13.68,1900,12/24/20
PBYI,"Puma Biotechnology",11.43,0.01,+0.09%,11.5,11.61,11.3,144900,12/24/20
PCB,"Pacific City Finl Cp",10.12,-0.08,-0.78%,10.2,10.21,10.07,4500,12/24/20
PCH,"Potlatch Cp",50.64,-0.01,-0.02%,51.09,51.49,50.29,189600,12/24/20
PCRX,"Pacira Pharm Inc",59.22,0.54,+0.92%,59.27,59.48,58.41,57100,12/24/20
PCSB,"Pcsb Financial Corp",16.02,-0.03,-0.19%,16.07,16.12,16.02,9600,12/24/20
PCTI,"Pc-Tel Inc",6.68,0.02,+0.30%,6.68,6.8,6.68,17300,12/24/20
PCVX,"Vaxcyte Inc",27.96,-0.77,-2.68%,28.9,29.14,27.59,80600,12/24/20
PCYG,"Park City Group",5.02,0.09,+1.83%,4.85,5.1,4.85,29100,12/24/20
PCYO,"Pure Cycle Corp",10.89,0.06,+0.55%,11.06,11.39,10.71,27200,12/24/20
PDCE,"Pdc Energy Inc",19.99,-0.04,-0.20%,20.07,20.2,19.59,340700,12/24/20
PDCO,"Patterson Companies",31.71,-0.47,-1.46%,32.5,32.77,31.55,151800,12/24/20
PDFS,"Pdf Solutions Inc",22.03,-0.05,-0.23%,22.11,22.42,21.72,47500,12/24/20
PDLB,"Pdl Community Bancorp",10.35,0.1,+0.98%,10.35,10.35,10.35,800,12/24/20
PDLI,"Pdl Biopharma Inc",2.68,0.07,+2.68%,2.71,2.75,2.62,2827700,12/24/20
PDM,"Piedmont Office Realty Trust",16.14,0.26,+1.64%,15.91,16.14,15.73,273900,12/24/20
PEB,"Pebblebrook Hotel Trust",18.94,0.33,+1.77%,18.76,19,18.38,510700,12/24/20
PEBK,"Peoples Bancorp NC",25.32,-0.49,-1.90%,25.32,25.32,25.32,400,12/24/20
PEBO,"Peoples Bancorp Inc",27.02,0.05,+0.19%,27.06,27.87,26.78,28200,12/24/20
PENN,"Penn Natl Gaming Inc",94.66,-1.43,-1.49%,96.13,97.86,94.11,1911000,12/24/20
PETQ,"Petiq Inc Cl A",35.54,1.35,+3.96%,34.41,35.59,33.74,217000,12/24/20
PETS,"Petmed Express Inc",33.77,0.01,+0.03%,33.89,34.79,33.7,243500,12/24/20
PFBC,"Preferred Bank LA",48.63,-0.36,-0.73%,49.01,49.1,48.39,19300,12/24/20
PFBI,"Premier Finl Bncp",13.72,-0.11,-0.80%,13.95,13.95,13.72,9600,12/24/20
PFC,"Premier Financial Corp",23.02,0.34,+1.50%,23.02,23.11,22.43,56800,12/24/20
PFGC,"Performance Food Group Company",47.97,-0.06,-0.12%,48.2,48.2,47.08,260500,12/24/20
PFHD,"Professional Holding Corp",15.55,-0.9,-5.47%,16.13,16.64,15.55,3600,12/24/20
PFIS,"Peoples Finl Svcs Company",37.17,-0.63,-1.67%,37.17,37.17,37.17,900,12/24/20
PFS,"Provident Financial Services",17.85,-0.01,-0.06%,17.85,17.96,17.62,91300,12/24/20
PFSI,"Pennymac Financial Services IN",65.27,-3.1,-4.53%,68.25,68.37,64.29,528600,12/24/20
PFSW,"Pfsweb Inc",6.57,-0.05,-0.76%,6.75,6.75,6.52,29200,12/24/20
PGC,"Peapack Gladstone FI",22.61,-0.12,-0.53%,22.8,22.8,22.52,32800,12/24/20
PGEN,"Precigen Inc",10.02,0.11,+1.11%,9.89,10.25,9.85,653600,12/24/20
PGNY,"Progyny Inc",42.16,0.42,+1.01%,42,42.5,41.68,372100,12/24/20
PGTI,"Pgt Inc",21.13,0.25,+1.20%,20.93,21.21,20.74,118600,12/24/20
PHAS,"Phasebio Pharmaceuticals Inc",3.6,-0.02,-0.55%,3.61,3.66,3.58,132800,12/24/20
PHAT,"Phathom Pharmaceuticals Inc",36.34,0.8,+2.25%,35.65,36.68,35.16,75000,12/24/20
PHR,"Phreesia Inc",57.31,-0.45,-0.78%,57.49,57.95,56.59,119600,12/24/20
PI,"Impinj Inc",42.62,-1.79,-4.03%,44.81,44.81,41.62,177100,12/24/20
