Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ROK,"Rockwell Automation Inc",248.63,0.6,+0.24%,248.56,249.08,247.21,131800,12/24/20
ROL,"Rollins Inc",40.05,0.21,+0.53%,40.01,40.41,39.84,412000,12/24/20
ROP,"Roper Industries",420.12,0.66,+0.16%,419.84,423.67,416.27,119700,12/24/20
RSG,"Republic Services",95.63,0.62,+0.65%,94.96,95.72,94.91,307100,12/24/20
RTX,"Raytheon Technologies Corp",70.27,-0.45,-0.64%,70.95,70.95,69.89,1758600,12/24/20
SNA,"Snap-On Inc",169.77,1.93,+1.15%,169.45,169.9,167.65,106400,12/24/20
SWK,"Stanley Black & Decker Inc",179.92,2.02,+1.14%,178.64,180.17,177.53,243100,12/24/20
TDG,"Transdigm Group Inc",606.71,-5.19,-0.85%,609.07,610.75,602.4,47700,12/24/20
TDY,"Teledyne Technologies Inc",383.48,-2.32,-0.60%,384.27,385.26,380.1,23000,12/24/20
TT,"Trane Technologies Plc",143.66,1.16,+0.81%,142.96,144.32,142.96,292000,12/24/20
TXT,"Textron Inc",48.07,-0.24,-0.50%,48.44,48.5,47.87,197400,12/24/20
UAL,"United Airlines Holdings Inc",43.26,-0.85,-1.93%,44.4,44.42,43.01,7230600,12/24/20
UNP,"Union Pacific Corp",203.39,2.22,+1.10%,201.26,203.85,200.48,691700,12/24/20
UPS,"United Parcel Service",172.19,-0.45,-0.26%,173.01,173.35,171.47,1006000,12/24/20
URI,"United Rentals",232.62,1.69,+0.73%,230.67,233.15,228.95,213200,12/24/20
VRSK,"Verisk Analytics Inc",201.23,1.26,+0.63%,200.3,201.78,199.95,145000,12/24/20
WAB,"Wabtec Corp",73.31,0.45,+0.62%,73.3,73.42,72.13,218100,12/24/20
WM,"Waste Management",117,0.75,+0.65%,116.46,117.02,116.21,466000,12/24/20
XYL,"Xylem Inc",100.25,0.52,+0.52%,100.31,100.48,99.31,249700,12/24/20
